feature,mean_abs_shap
number_inpatient,0.27462562816698327
discharge_disposition_id,0.2220691829444046
number_diagnoses,0.05850228802851985
diag_1_Respiratory,0.05380765313765805
diabetesMed_Yes,0.05373305393352115
time_in_hospital,0.04744598820209763
num_medications,0.04215500142611131
num_lab_procedures,0.03812427744901755
number_emergency,0.029318660966525054
insulin_No,0.028840006408926675
age_50_60,0.023437837409356562
metformin_No,0.02297390944863783
diag_2_Diabetes,0.02084953001762865
A1Cresult_nan,0.018054805889154306
age_70_80,0.017774244493675276
admission_type_id,0.017674786280023832
diag_3_Diabetes,0.016896405995502083
diag_2_Respiratory,0.016076642488068536
glimepiride_Steady,0.01534513043032268
diag_1_Injury,0.01514061903493537
insulin_Steady,0.014994658982967165
number_outpatient,0.014285975407157541
diag_2_Neoplasms,0.013958439657525015
diag_1_Musculoskeletal,0.013921766673825914
diag_1_Other,0.013726214018056083
gender_Male,0.013104599050125261
num_procedures,0.012868393938392435
pioglitazone_Steady,0.011065417136032124
admission_source_id,0.010672549477256401
age_80_90,0.01007770868652675
diag_1_Diabetes,0.009443440012323842
diag_3_Genitourinary,0.008146463875035103
race_nan,0.007961851630872102
diag_1_Digestive,0.006760434195068372
diag_3_External_or_Supplementary,0.005554432498570538
metformin_Steady,0.0055448947750618375
diag_3_Respiratory,0.00544916443870833
race_Caucasian,0.005308050576338427
diag_2_Other,0.005226396228843362
diag_3_Neoplasms,0.004998745364919304
glipizide_No,0.0048498642855787704
diag_3_Other,0.0047952733990414675
glyburide_No,0.004629163817138184
insulin_Up,0.00461919646789982
metformin_Up,0.004578373065753837
glimepiride_No,0.004371841887087556
age_10_20,0.004326657314179463
diag_1_External_or_Supplementary,0.004174468120905799
diag_3_Digestive,0.0038519295664801055
rosiglitazone_No,0.003645795268564031
A1Cresult_gt_8,0.003630708486475926
max_glu_serum_nan,0.003621370789525236
change_No,0.003495812460480672
age_60_70,0.003409071079092971
A1Cresult_Norm,0.003330926932517031
glipizide_Steady,0.0032187184108438617
age_90_100,0.0030716435337709872
diag_1_Genitourinary,0.00273479915791009
race_Hispanic,0.00231449986403648
diag_2_External_or_Supplementary,0.0022150640959931497
age_40_50,0.0021053852879814785
diag_2_Genitourinary,0.00196192075912957
diag_1_Neoplasms,0.0017253471624212413
diag_2_Digestive,0.0016067026523617078
age_30_40,0.0015209992453000451
age_20_30,0.001461870082712556
glyburide_Steady,0.0013068271718293552
glipizide_Up,0.0011847912839353383
pioglitazone_No,0.000990996119993508
diag_3_Injury,0.0008191407348308712
max_glu_serum_Norm,0.0007823315470590022
rosiglitazone_Steady,0.0007457197967424888
diag_2_Injury,0.0007110415976587683
diag_3_Musculoskeletal,0.0006883115655791322
diag_2_Musculoskeletal,0.0006215882054588271
glyburide_Up,0.0005028067863141768
repaglinide_No,0.00048462787057171184
diag_2_Missing,0.0004099842793011339
max_glu_serum_gt_300,0.0003755071395222332
repaglinide_Steady,0.00035338989841286094
glyburide_metformin_No,0.0003025247314403532
acarbose_Steady,0.0002576406151260017
nateglinide_Steady,0.00018965096138417718
repaglinide_Up,0.00016545443147420884
diag_3_Missing,0.00015973832155461421
pioglitazone_Up,0.00014455870315432552
race_Asian,9.007643678341992e-05
rosiglitazone_Up,7.307723216537852e-05
race_Other,4.984734894154827e-05
chlorpropamide_No,4.506259818561375e-05
glyburide_metformin_Steady,3.3005251390859484e-05
glimepiride_Up,2.2657633386552334e-05
acarbose_No,8.606386038009077e-06
gender_nan,0.0
nateglinide_Up,0.0
nateglinide_No,0.0
repaglinide_nan,0.0
metformin_nan,0.0
diag_2_nan,0.0
diag_3_nan,0.0
diag_1_Missing,0.0
diag_1_nan,0.0
age_nan,0.0
glipizide_nan,0.0
acetohexamide_Steady,0.0
acetohexamide_nan,0.0
chlorpropamide_Up,0.0
chlorpropamide_Steady,0.0
nateglinide_nan,0.0
chlorpropamide_nan,0.0
acarbose_Up,0.0
rosiglitazone_nan,0.0
pioglitazone_nan,0.0
tolbutamide_nan,0.0
tolbutamide_Steady,0.0
glyburide_nan,0.0
glimepiride_nan,0.0
acarbose_nan,0.0
tolazamide_Steady,0.0
troglitazone_nan,0.0
troglitazone_Steady,0.0
tolazamide_Up,0.0
miglitol_nan,0.0
miglitol_No,0.0
miglitol_Steady,0.0
miglitol_Up,0.0
insulin_nan,0.0
tolazamide_nan,0.0
examide_nan,0.0
citoglipton_nan,0.0
glipizide_metformin_Steady,0.0
glipizide_metformin_nan,0.0
glyburide_metformin_Up,0.0
glyburide_metformin_nan,0.0
glimepiride_pioglitazone_nan,0.0
glimepiride_pioglitazone_Steady,0.0
metformin_rosiglitazone_Steady,0.0
metformin_rosiglitazone_nan,0.0
metformin_pioglitazone_nan,0.0
metformin_pioglitazone_Steady,0.0
change_nan,0.0
diabetesMed_nan,0.0
